NYSOFA County Code,County Name,Year,Meal Units Served,Meal Type
17,Fulton,1979,4140,Home Delivered Meals
18,Genesee,1979,37821,Congregate Meals
18,Genesee,1979,467,Home Delivered Meals
19,Greene,1979,45711,Congregate Meals
19,Greene,1979,8239,Home Delivered Meals
21,Herkimer,1979,39186,Congregate Meals
21,Herkimer,1979,4842,Home Delivered Meals
22,Jefferson,1979,58546,Congregate Meals
22,Jefferson,1979,13842,Home Delivered Meals
23,Lewis,1979,34683,Congregate Meals
23,Lewis,1979,15941,Home Delivered Meals
24,Livingston,1979,35085,Congregate Meals
24,Livingston,1979,3055,Home Delivered Meals
25,Madison,1979,43261,Congregate Meals
25,Madison,1979,6454,Home Delivered Meals
26,Monroe,1979,235140,Congregate Meals
26,Monroe,1979,12266,Home Delivered Meals
27,Montgomery,1979,55369,Congregate Meals
27,Montgomery,1979,21116,Home Delivered Meals
28,Nassau,1979,351302,Congregate Meals
28,Nassau,1979,96030,Home Delivered Meals
29,Niagara,1979,210949,Congregate Meals
29,Niagara,1979,759,Home Delivered Meals
30,Oneida,1979,146431,Congregate Meals
30,Oneida,1979,16785,Home Delivered Meals
31,Onondaga,1979,189102,Congregate Meals
31,Onondaga,1979,6299,Home Delivered Meals
32,Ontario,1979,31725,Congregate Meals
32,Ontario,1979,6137,Home Delivered Meals
33,Orange,1979,99258,Congregate Meals
33,Orange,1979,17594,Home Delivered Meals
34,Orleans,1979,27577,Congregate Meals
34,Orleans,1979,1516,Home Delivered Meals
35,Oswego,1979,39541,Congregate Meals
35,Oswego,1979,12604,Home Delivered Meals
36,Otsego,1979,51473,Congregate Meals
36,Otsego,1979,11097,Home Delivered Meals
37,Putnam,1979,38497,Congregate Meals
37,Putnam,1979,8301,Home Delivered Meals
38,Rensselaer,1979,78902,Congregate Meals
38,Rensselaer,1979,26823,Home Delivered Meals
39,Rockland,1979,88398,Congregate Meals
39,Rockland,1979,3892,Home Delivered Meals
40,St. Lawrence,1979,63419,Congregate Meals
40,St. Lawrence,1979,22215,Home Delivered Meals
41,Saratoga,1979,46449,Congregate Meals
41,Saratoga,1979,23348,Home Delivered Meals
42,Schenectady,1979,69855,Congregate Meals
42,Schenectady,1979,47661,Home Delivered Meals
43,Schoharie,1979,20954,Congregate Meals
43,Schoharie,1979,6681,Home Delivered Meals
44,Schuyler,1979,22294,Congregate Meals
44,Schuyler,1979,1065,Home Delivered Meals
45,Seneca,1979,33761,Congregate Meals
45,Seneca,1979,6230,Home Delivered Meals
46,Steuben,1979,71865,Congregate Meals
46,Steuben,1979,11929,Home Delivered Meals
47,Suffolk,1979,285096,Congregate Meals
47,Suffolk,1979,77080,Home Delivered Meals
48,Sullivan,1979,59532,Congregate Meals
48,Sullivan,1979,9374,Home Delivered Meals
49,Tioga,1979,34135,Congregate Meals
49,Tioga,1979,8061,Home Delivered Meals
